isolate	cluster
GCA_032352905.1_ASM3235290v1_genomic	cluster5
GCA_032352965.1_ASM3235296v1_genomic	cluster5
GCA_032352985.1_ASM3235298v1_genomic	cluster5
GCA_032470405.1_ASM3247040v1_genomic	cluster3
GCA_032471425.1_ASM3247142v1_genomic	cluster1
GCA_032472075.1_ASM3247207v1_genomic	cluster1
GCA_032472415.1_ASM3247241v1_genomic	cluster1
GCA_032473055.1_ASM3247305v1_genomic	cluster1
GCA_032473735.1_ASM3247373v1_genomic	cluster1
GCA_032474915.1_ASM3247491v1_genomic	cluster1
GCA_032475275.1_ASM3247527v1_genomic	cluster1
GCA_032476555.1_ASM3247655v1_genomic	cluster3
GCA_032477235.1_ASM3247723v1_genomic	cluster3
GCA_032477515.1_ASM3247751v1_genomic	cluster5
GCA_032477675.1_ASM3247767v1_genomic	cluster1
GCA_032478195.1_ASM3247819v1_genomic	cluster3
GCA_032478475.1_ASM3247847v1_genomic	cluster3
GCA_032478595.1_ASM3247859v1_genomic	cluster3
GCA_032479115.1_ASM3247911v1_genomic	cluster3
GCA_032479535.1_ASM3247953v1_genomic	cluster3
GCA_032480035.1_ASM3248003v1_genomic	cluster3
GCA_032480355.1_ASM3248035v1_genomic	cluster1
GCA_032481095.1_ASM3248109v1_genomic	cluster3
GCA_032481255.1_ASM3248125v1_genomic	cluster1
GCA_032481415.1_ASM3248141v1_genomic	cluster1
GCA_032481675.1_ASM3248167v1_genomic	cluster3
GCA_032481855.1_ASM3248185v1_genomic	cluster1
GCA_032482635.1_ASM3248263v1_genomic	cluster1
GCA_032482715.1_ASM3248271v1_genomic	cluster1
GCA_032483295.1_ASM3248329v1_genomic	cluster1
GCA_032483475.1_ASM3248347v1_genomic	cluster3
GCA_032483835.1_ASM3248383v1_genomic	cluster1
GCA_032483935.1_ASM3248393v1_genomic	cluster1
GCA_032486015.1_ASM3248601v1_genomic	cluster5
GCA_032487295.1_ASM3248729v1_genomic	cluster3
GCA_032506765.1_ASM3250676v1_genomic	cluster3
GCA_032506975.1_ASM3250697v1_genomic	cluster3
GCA_032507555.1_ASM3250755v1_genomic	cluster3
GCA_032509305.1_ASM3250930v1_genomic	cluster3
GCA_032509705.1_ASM3250970v1_genomic	cluster5
GCA_032510585.1_ASM3251058v1_genomic	cluster3
GCA_032511005.1_ASM3251100v1_genomic	cluster1
GCA_032511495.1_ASM3251149v1_genomic	cluster3
GCA_032512405.1_ASM3251240v1_genomic	cluster1
GCA_032515005.1_ASM3251500v1_genomic	cluster1
GCA_032515165.1_ASM3251516v1_genomic	cluster3
GCA_032516485.1_ASM3251648v1_genomic	cluster1
GCA_032516685.1_ASM3251668v1_genomic	cluster3
GCA_032516885.1_ASM3251688v1_genomic	cluster1
GCA_032517225.1_ASM3251722v1_genomic	cluster3
GCA_032517785.1_ASM3251778v1_genomic	cluster3
GCA_032517885.1_ASM3251788v1_genomic	cluster3
GCA_032547975.1_ASM3254797v1_genomic	cluster1
GCA_032549535.1_ASM3254953v1_genomic	cluster1
GCA_032550025.1_ASM3255002v1_genomic	cluster1
GCA_032551915.1_ASM3255191v1_genomic	cluster1
GCA_032552275.1_ASM3255227v1_genomic	cluster1
GCA_032553495.1_ASM3255349v1_genomic	cluster5
GCA_032556475.1_ASM3255647v1_genomic	cluster3
GCA_032556595.1_ASM3255659v1_genomic	cluster1
GCA_032557395.1_ASM3255739v1_genomic	cluster3
GCA_032558795.1_ASM3255879v1_genomic	cluster5
GCA_032560255.1_ASM3256025v1_genomic	cluster1
GCA_032561175.1_ASM3256117v1_genomic	cluster3
GCA_032562815.1_ASM3256281v1_genomic	cluster1
GCA_032563675.1_ASM3256367v1_genomic	cluster3
GCA_032563995.1_ASM3256399v1_genomic	cluster4
GCA_032564535.1_ASM3256453v1_genomic	cluster1
GCA_032564595.1_ASM3256459v1_genomic	cluster3
GCA_032564915.1_ASM3256491v1_genomic	cluster3
GCA_032565095.1_ASM3256509v1_genomic	cluster3
GCA_032565595.1_ASM3256559v1_genomic	cluster3
GCA_032566375.1_ASM3256637v1_genomic	cluster1
GCA_032567115.1_ASM3256711v1_genomic	cluster3
GCA_032568895.1_ASM3256889v1_genomic	cluster1
GCA_032569205.1_ASM3256920v1_genomic	cluster3
GCA_032569595.1_ASM3256959v1_genomic	cluster1
GCA_032571675.1_ASM3257167v1_genomic	cluster3
GCA_032572345.1_ASM3257234v1_genomic	cluster3
GCA_032572715.1_ASM3257271v1_genomic	cluster3
GCA_032573055.1_ASM3257305v1_genomic	cluster1
GCA_032573635.1_ASM3257363v1_genomic	cluster3
GCA_032574095.1_ASM3257409v1_genomic	cluster3
GCA_032575015.1_ASM3257501v1_genomic	cluster1
GCA_032577215.1_ASM3257721v1_genomic	cluster1
GCA_032578235.1_ASM3257823v1_genomic	cluster1
GCA_032578675.1_ASM3257867v1_genomic	cluster1
GCA_032578995.1_ASM3257899v1_genomic	cluster3
GCA_032579915.1_ASM3257991v1_genomic	cluster5
GCA_032582175.1_ASM3258217v1_genomic	cluster1
GCA_032582375.1_ASM3258237v1_genomic	cluster1
GCA_032582695.1_ASM3258269v1_genomic	cluster1
GCA_032583175.1_ASM3258317v1_genomic	cluster4
GCA_032583775.1_ASM3258377v1_genomic	cluster1
GCA_032594315.1_ASM3259431v1_genomic	cluster3
GCA_032594385.1_ASM3259438v1_genomic	cluster1
GCA_032595825.1_ASM3259582v1_genomic	cluster3
GCA_032971005.1_ASM3297100v1_genomic	cluster1
GCA_032971045.1_ASM3297104v1_genomic	cluster2
GCA_032971065.1_ASM3297106v1_genomic	cluster1
GCA_032971105.1_ASM3297110v1_genomic	cluster1
GCA_032971185.1_ASM3297118v1_genomic	cluster2
GCA_033187955.1_PDT001964383.1_genomic	cluster1
GCA_033187995.1_PDT001964380.1_genomic	cluster1
GCA_033192195.1_PDT001964382.1_genomic	cluster1
GCA_963524485.1_ERR9969053_bin.24_MetaWRAP_v1.3_MAG_genomic	cluster4
GCF_000009685.1_ASM968v1_genomic	cluster3
GCF_000013285.1_ASM1328v1_genomic	cluster1
GCF_000013845.2_ASM1384v2_genomic	cluster6
GCF_000171195.1_ASM17119v1_genomic	cluster3
GCF_000243175.1_Clos_perf_WAL_14572_V2_genomic	cluster1
GCF_000255475.1_ASM25547v1_genomic	cluster1
GCF_001052445.1_ASM105244v1_genomic	cluster3
GCF_001406415.1_13414_6_73_genomic	cluster1
GCF_001414595.1_CP4_genomic	cluster1
GCF_001546355.1_ASM154635v1_genomic	cluster5
GCF_001854085.1_ASM185408v1_genomic	cluster3
GCF_002012325.1_ASM201232v1_genomic	cluster1
GCF_002160285.1_ASM216028v1_genomic	cluster1
GCF_002161405.1_ASM216140v1_genomic	cluster1
GCF_002312985.1_ASM231298v1_genomic	cluster1
GCF_002355795.1_ASM235579v1_genomic	cluster4
GCF_003075475.1_ASM307547v1_genomic	cluster1
GCF_003181355.1_ASM318135v1_genomic	cluster1
GCF_003181395.1_ASM318139v1_genomic	cluster1
GCF_003181405.1_ASM318140v1_genomic	cluster1
GCF_003181415.1_ASM318141v1_genomic	cluster1
GCF_003181455.1_ASM318145v1_genomic	cluster1
GCF_003181475.1_ASM318147v1_genomic	cluster1
GCF_003181495.1_ASM318149v1_genomic	cluster1
GCF_003181505.1_ASM318150v1_genomic	cluster1
GCF_003181535.1_ASM318153v1_genomic	cluster1
GCF_003181555.1_ASM318155v1_genomic	cluster3
GCF_003181575.1_ASM318157v1_genomic	cluster1
GCF_003181595.1_ASM318159v1_genomic	cluster1
GCF_003181615.1_ASM318161v1_genomic	cluster1
GCF_003181655.1_ASM318165v1_genomic	cluster1
GCF_003181675.1_ASM318167v1_genomic	cluster1
GCF_003181695.1_ASM318169v1_genomic	cluster1
GCF_003181705.1_ASM318170v1_genomic	cluster1
GCF_003181735.1_ASM318173v1_genomic	cluster1
GCF_003181745.1_ASM318174v1_genomic	cluster3
GCF_003181795.1_ASM318179v1_genomic	cluster1
GCF_003181815.1_ASM318181v1_genomic	cluster1
GCF_003181835.1_ASM318183v1_genomic	cluster1
GCF_003181875.1_ASM318187v1_genomic	cluster1
GCF_003181895.1_ASM318189v1_genomic	cluster1
GCF_003181955.1_ASM318195v1_genomic	cluster1
GCF_003181995.1_ASM318199v1_genomic	cluster1
GCF_003203455.1_ASM320345v1_genomic	cluster3
GCF_003350945.1_ASM335094v1_genomic	cluster1
GCF_003475625.1_ASM347562v1_genomic	cluster3
GCF_003628405.2_ASM362840v2_genomic	cluster1
GCF_004115725.1_ASM411572v1_genomic	cluster6
GCF_004116225.1_ASM411622v1_genomic	cluster6
GCF_004116235.1_ASM411623v1_genomic	cluster6
GCF_005844105.1_ASM584410v1_genomic	cluster1
GCF_005844665.1_ASM584466v1_genomic	cluster6
GCF_006385425.1_ASM638542v1_genomic	cluster5
GCF_006409095.1_ASM640909v1_genomic	cluster1
GCF_006454475.1_ASM645447v1_genomic	cluster1
GCF_008086935.1_ASM808693v1_genomic	cluster1
GCF_009259705.1_ASM925970v1_genomic	cluster1
GCF_010994425.1_ASM1099442v1_genomic	cluster1
GCF_011062465.1_ASM1106246v1_genomic	cluster3
GCF_011062475.1_ASM1106247v1_genomic	cluster1
GCF_011062525.1_ASM1106252v1_genomic	cluster1
GCF_011062565.1_ASM1106256v1_genomic	cluster3
GCF_011062585.1_ASM1106258v1_genomic	cluster1
GCF_011062605.1_ASM1106260v1_genomic	cluster3
GCF_011062615.1_ASM1106261v1_genomic	cluster1
GCF_011062685.1_ASM1106268v1_genomic	cluster1
GCF_011062735.1_ASM1106273v1_genomic	cluster1
GCF_011062745.1_ASM1106274v1_genomic	cluster1
GCF_011062775.1_ASM1106277v1_genomic	cluster3
GCF_011062825.1_ASM1106282v1_genomic	cluster1
GCF_011062845.1_ASM1106284v1_genomic	cluster1
GCF_011062925.1_ASM1106292v1_genomic	cluster1
GCF_011062955.1_ASM1106295v1_genomic	cluster1
GCF_011062975.1_ASM1106297v1_genomic	cluster1
GCF_011063005.1_ASM1106300v1_genomic	cluster3
GCF_011063025.1_ASM1106302v1_genomic	cluster1
GCF_011063045.1_ASM1106304v1_genomic	cluster3
GCF_011063075.1_ASM1106307v1_genomic	cluster1
GCF_011063135.1_ASM1106313v1_genomic	cluster1
GCF_011063145.1_ASM1106314v1_genomic	cluster5
GCF_011063205.1_ASM1106320v1_genomic	cluster1
GCF_011063245.1_ASM1106324v1_genomic	cluster1
GCF_011063325.1_ASM1106332v1_genomic	cluster1
GCF_011068425.1_ASM1106842v1_genomic	cluster1
GCF_012843975.1_ASM1284397v1_genomic	cluster2
GCF_013305215.1_ASM1330521v1_genomic	cluster1
GCF_015548365.1_ASM1554836v1_genomic	cluster1
GCF_015548585.1_ASM1554858v1_genomic	cluster6
GCF_015553385.1_ASM1555338v1_genomic	cluster3
GCF_015553685.1_ASM1555368v1_genomic	cluster3
GCF_015553915.1_ASM1555391v1_genomic	cluster3
GCF_015555525.1_ASM1555552v1_genomic	cluster1
GCF_015555735.1_ASM1555573v1_genomic	cluster3
GCF_015561335.1_ASM1556133v1_genomic	cluster1
GCF_015667875.1_ASM1566787v1_genomic	cluster3
GCF_015670075.1_ASM1567007v1_genomic	cluster1
GCF_015670355.1_ASM1567035v1_genomic	cluster3
GCF_016235965.1_ASM1623596v1_genomic	cluster2
GCF_016235975.1_ASM1623597v1_genomic	cluster2
GCF_016235985.1_ASM1623598v1_genomic	cluster2
GCF_016236005.1_ASM1623600v1_genomic	cluster2
GCF_016236035.1_ASM1623603v1_genomic	cluster2
GCF_016236065.1_ASM1623606v1_genomic	cluster1
GCF_016236085.1_ASM1623608v1_genomic	cluster2
GCF_016236095.1_ASM1623609v1_genomic	cluster4
GCF_016236125.1_ASM1623612v1_genomic	cluster2
GCF_016236135.1_ASM1623613v1_genomic	cluster1
GCF_016236165.1_ASM1623616v1_genomic	cluster1
GCF_016236185.1_ASM1623618v1_genomic	cluster3
GCF_016236195.1_ASM1623619v1_genomic	cluster1
GCF_016236235.1_ASM1623623v1_genomic	cluster3
GCF_016236265.1_ASM1623626v1_genomic	cluster3
GCF_016236285.1_ASM1623628v1_genomic	cluster5
GCF_016236305.1_ASM1623630v1_genomic	cluster4
GCF_016236315.1_ASM1623631v1_genomic	cluster2
GCF_016236345.1_ASM1623634v1_genomic	cluster1
GCF_016236355.1_ASM1623635v1_genomic	cluster1
GCF_016236385.1_ASM1623638v1_genomic	cluster1
GCF_016236395.1_ASM1623639v1_genomic	cluster3
GCF_016236415.1_ASM1623641v1_genomic	cluster3
GCF_016236445.1_ASM1623644v1_genomic	cluster3
GCF_016236455.1_ASM1623645v1_genomic	cluster1
GCF_016236485.1_ASM1623648v1_genomic	cluster2
GCF_016236495.1_ASM1623649v1_genomic	cluster2
GCF_016236515.1_ASM1623651v1_genomic	cluster2
GCF_016236535.1_ASM1623653v1_genomic	cluster1
GCF_016236545.1_ASM1623654v1_genomic	cluster2
GCF_016236585.1_ASM1623658v1_genomic	cluster2
GCF_016236605.1_ASM1623660v1_genomic	cluster2
GCF_016236615.1_ASM1623661v1_genomic	cluster2
GCF_016236635.1_ASM1623663v1_genomic	cluster2
GCF_016236655.1_ASM1623665v1_genomic	cluster1
GCF_016236685.1_ASM1623668v1_genomic	cluster2
GCF_016236705.1_ASM1623670v1_genomic	cluster1
GCF_016236725.1_ASM1623672v1_genomic	cluster2
GCF_016236735.1_ASM1623673v1_genomic	cluster2
GCF_016236745.1_ASM1623674v1_genomic	cluster2
GCF_016236785.1_ASM1623678v1_genomic	cluster1
GCF_016236805.1_ASM1623680v1_genomic	cluster2
GCF_016236815.1_ASM1623681v1_genomic	cluster2
GCF_016236825.1_ASM1623682v1_genomic	cluster1
GCF_016236855.1_ASM1623685v1_genomic	cluster1
GCF_016236885.1_ASM1623688v1_genomic	cluster2
GCF_016236905.1_ASM1623690v1_genomic	cluster2
GCF_017590195.1_ASM1759019v1_genomic	cluster1
GCF_017590205.1_ASM1759020v1_genomic	cluster1
GCF_017590255.1_ASM1759025v1_genomic	cluster1
GCF_017590275.1_ASM1759027v1_genomic	cluster1
GCF_017590295.1_ASM1759029v1_genomic	cluster1
GCF_017590315.1_ASM1759031v1_genomic	cluster1
GCF_017590335.1_ASM1759033v1_genomic	cluster1
GCF_017590355.1_ASM1759035v1_genomic	cluster1
GCF_017590365.1_ASM1759036v1_genomic	cluster1
GCF_017590415.1_ASM1759041v1_genomic	cluster1
GCF_017590425.1_ASM1759042v1_genomic	cluster1
GCF_017590455.1_ASM1759045v1_genomic	cluster1
GCF_017590465.1_ASM1759046v1_genomic	cluster1
GCF_017590495.1_ASM1759049v1_genomic	cluster1
GCF_017590515.1_ASM1759051v1_genomic	cluster1
GCF_017590555.1_ASM1759055v1_genomic	cluster1
GCF_017590565.1_ASM1759056v1_genomic	cluster1
GCF_017590595.1_ASM1759059v1_genomic	cluster1
GCF_017590615.1_ASM1759061v1_genomic	cluster1
GCF_017590635.1_ASM1759063v1_genomic	cluster1
GCF_017590655.1_ASM1759065v1_genomic	cluster1
GCF_017590675.1_ASM1759067v1_genomic	cluster1
GCF_017590725.1_ASM1759072v1_genomic	cluster5
GCF_017590755.1_ASM1759075v1_genomic	cluster1
GCF_017590765.1_ASM1759076v1_genomic	cluster1
GCF_017590795.1_ASM1759079v1_genomic	cluster1
GCF_017590815.1_ASM1759081v1_genomic	cluster1
GCF_017590835.1_ASM1759083v1_genomic	cluster5
GCF_017590845.1_ASM1759084v1_genomic	cluster1
GCF_017590865.1_ASM1759086v1_genomic	cluster1
GCF_017590885.1_ASM1759088v1_genomic	cluster1
GCF_017590915.1_ASM1759091v1_genomic	cluster1
GCF_017590925.1_ASM1759092v1_genomic	cluster1
GCF_017590945.1_ASM1759094v1_genomic	cluster1
GCF_017590975.1_ASM1759097v1_genomic	cluster1
GCF_017590995.1_ASM1759099v1_genomic	cluster1
GCF_017591015.1_ASM1759101v1_genomic	cluster1
GCF_017591035.1_ASM1759103v1_genomic	cluster1
GCF_017591045.1_ASM1759104v1_genomic	cluster1
GCF_017591055.1_ASM1759105v1_genomic	cluster1
GCF_017591095.1_ASM1759109v1_genomic	cluster1
GCF_017897335.1_ASM1789733v1_genomic	cluster6
GCF_018135545.1_ASM1813554v1_genomic	cluster1
GCF_019710675.1_ASM1971067v1_genomic	cluster1
GCF_019710695.1_ASM1971069v1_genomic	cluster4
GCF_019710715.1_ASM1971071v1_genomic	cluster1
GCF_019710785.1_ASM1971078v1_genomic	cluster1
GCF_019710815.1_ASM1971081v1_genomic	cluster1
GCF_019710835.1_ASM1971083v1_genomic	cluster1
GCF_019710845.1_ASM1971084v1_genomic	cluster1
GCF_019710875.1_ASM1971087v1_genomic	cluster1
GCF_019710895.1_ASM1971089v1_genomic	cluster1
GCF_019710905.1_ASM1971090v1_genomic	cluster1
GCF_019710935.1_ASM1971093v1_genomic	cluster1
GCF_019710955.1_ASM1971095v1_genomic	cluster1
GCF_019710975.1_ASM1971097v1_genomic	cluster1
GCF_019710995.1_ASM1971099v1_genomic	cluster3
GCF_019711005.1_ASM1971100v1_genomic	cluster1
GCF_019711035.1_ASM1971103v1_genomic	cluster1
GCF_019711055.1_ASM1971105v1_genomic	cluster3
GCF_019711075.1_ASM1971107v1_genomic	cluster1
GCF_019711085.1_ASM1971108v1_genomic	cluster1
GCF_019711115.1_ASM1971111v1_genomic	cluster3
GCF_019711135.1_ASM1971113v1_genomic	cluster1
GCF_019711155.1_ASM1971115v1_genomic	cluster1
GCF_019733895.1_ASM1973389v1_genomic	cluster3
GCF_020138335.1_ASM2013833v1_genomic	cluster2
GCF_020138355.1_ASM2013835v1_genomic	cluster3
GCF_020138435.1_ASM2013843v1_genomic	cluster1
GCF_020138455.1_ASM2013845v1_genomic	cluster3
GCF_020138475.1_ASM2013847v1_genomic	cluster3
GCF_020138495.1_ASM2013849v1_genomic	cluster3
GCF_020138515.1_ASM2013851v1_genomic	cluster3
GCF_020138775.1_ASM2013877v1_genomic	cluster1
GCF_020138795.1_ASM2013879v1_genomic	cluster3
GCF_020139215.1_ASM2013921v1_genomic	cluster3
GCF_020139235.1_ASM2013923v1_genomic	cluster3
GCF_020139255.1_ASM2013925v1_genomic	cluster5
GCF_020139275.1_ASM2013927v1_genomic	cluster3
GCF_020709015.1_ASM2070901v1_genomic	cluster3
GCF_021532025.1_ASM2153202v1_genomic	cluster1
GCF_021560735.1_ASM2156073v1_genomic	cluster3
GCF_022132865.1_NA_genomic	cluster3
GCF_022132885.1_NA_genomic	cluster3
GCF_022132945.1_NA_genomic	cluster3
GCF_022132965.1_NA_genomic	cluster3
