Gene	location
CQ56_scaffolds	china
CQ57_scaffolds	china
CQ58_scaffolds	china
CQ61_scaffolds	china
CQ62_scaffolds	china
CQ63_scaffolds	china
CQ64_scaffolds	china
CQ66_scaffolds	china
CQ67_scaffolds	china
CQ68_scaffolds	china
CQ69_scaffolds	china
CQ70_scaffolds	china
CQ71_scaffolds	china
CQ72_scaffolds	china
CQ73_scaffolds	china
CQ74_scaffolds	china
CQ75_scaffolds	china
CQ76_scaffolds	china
CQ77_scaffolds	china
CQ78_scaffolds	china
CQ79_scaffolds	china
CQ7_scaffolds	china
CQ80_scaffolds	china
CQ84_scaffolds	china
CQ85_scaffolds	china
CQ86_scaffolds	china
CQ87_scaffolds	china
CQ88_scaffolds	china
CQ89_scaffolds	china
CQ90_scaffolds	china
CQ91_scaffolds	china
CQ92_scaffolds	china
CQ93_scaffolds	china
CQ94_scaffolds	china
CQ97_scaffolds	china
CQ98_scaffolds	china
CQ99_scaffolds	china
CQ9_scaffolds	china
GCA_032470405.1_ASM3247040v1_genomic	usa
GCA_032471425.1_ASM3247142v1_genomic	usa
GCA_032472075.1_ASM3247207v1_genomic	usa
GCA_032472415.1_ASM3247241v1_genomic	usa
GCA_032473055.1_ASM3247305v1_genomic	usa
GCA_032473735.1_ASM3247373v1_genomic	usa
GCA_032474915.1_ASM3247491v1_genomic	usa
GCA_032475275.1_ASM3247527v1_genomic	usa
GCA_032476555.1_ASM3247655v1_genomic	usa
GCA_032477235.1_ASM3247723v1_genomic	usa
GCA_032477515.1_ASM3247751v1_genomic	usa
GCA_032477675.1_ASM3247767v1_genomic	usa
GCA_032478195.1_ASM3247819v1_genomic	usa
GCA_032478475.1_ASM3247847v1_genomic	usa
GCA_032478595.1_ASM3247859v1_genomic	usa
GCA_032479115.1_ASM3247911v1_genomic	usa
GCA_032479535.1_ASM3247953v1_genomic	usa
GCA_032480035.1_ASM3248003v1_genomic	usa
GCA_032480355.1_ASM3248035v1_genomic	usa
GCA_032481095.1_ASM3248109v1_genomic	usa
GCA_032481255.1_ASM3248125v1_genomic	usa
GCA_032481415.1_ASM3248141v1_genomic	usa
GCA_032481675.1_ASM3248167v1_genomic	usa
GCA_032481855.1_ASM3248185v1_genomic	usa
GCA_032482635.1_ASM3248263v1_genomic	usa
GCA_032482715.1_ASM3248271v1_genomic	usa
GCA_032483295.1_ASM3248329v1_genomic	usa
GCA_032483475.1_ASM3248347v1_genomic	usa
GCA_032483835.1_ASM3248383v1_genomic	usa
GCA_032483935.1_ASM3248393v1_genomic	usa
GCA_032486015.1_ASM3248601v1_genomic	usa
GCA_032487295.1_ASM3248729v1_genomic	usa
GCA_032506765.1_ASM3250676v1_genomic	usa
GCA_032506975.1_ASM3250697v1_genomic	usa
GCA_032507555.1_ASM3250755v1_genomic	usa
GCA_032509305.1_ASM3250930v1_genomic	usa
GCA_032509705.1_ASM3250970v1_genomic	usa
GCA_032510585.1_ASM3251058v1_genomic	usa
GCA_032511005.1_ASM3251100v1_genomic	usa
GCA_032511495.1_ASM3251149v1_genomic	usa
GCA_032512405.1_ASM3251240v1_genomic	usa
GCA_032515005.1_ASM3251500v1_genomic	usa
GCA_032515165.1_ASM3251516v1_genomic	usa
GCA_032516485.1_ASM3251648v1_genomic	usa
GCA_032516685.1_ASM3251668v1_genomic	usa
GCA_032516885.1_ASM3251688v1_genomic	usa
GCA_032517225.1_ASM3251722v1_genomic	usa
GCA_032517785.1_ASM3251778v1_genomic	usa
GCA_032517885.1_ASM3251788v1_genomic	usa
GCA_032547975.1_ASM3254797v1_genomic	usa
GCA_032549535.1_ASM3254953v1_genomic	usa
GCA_032550025.1_ASM3255002v1_genomic	usa
GCA_032551915.1_ASM3255191v1_genomic	usa
GCA_032552275.1_ASM3255227v1_genomic	usa
GCA_032553495.1_ASM3255349v1_genomic	usa
GCA_032556475.1_ASM3255647v1_genomic	usa
GCA_032556595.1_ASM3255659v1_genomic	usa
GCA_032557395.1_ASM3255739v1_genomic	usa
GCA_032558795.1_ASM3255879v1_genomic	usa
GCA_032560255.1_ASM3256025v1_genomic	usa
GCA_032561175.1_ASM3256117v1_genomic	usa
GCA_032562815.1_ASM3256281v1_genomic	usa
GCA_032563675.1_ASM3256367v1_genomic	usa
GCA_032563995.1_ASM3256399v1_genomic	usa
GCA_032564535.1_ASM3256453v1_genomic	usa
GCA_032564595.1_ASM3256459v1_genomic	usa
GCA_032564915.1_ASM3256491v1_genomic	usa
GCA_032565095.1_ASM3256509v1_genomic	usa
GCA_032565595.1_ASM3256559v1_genomic	usa
GCA_032566375.1_ASM3256637v1_genomic	usa
GCA_032567115.1_ASM3256711v1_genomic	usa
GCA_032568895.1_ASM3256889v1_genomic	usa
GCA_032569205.1_ASM3256920v1_genomic	usa
GCA_032569595.1_ASM3256959v1_genomic	usa
GCA_032571675.1_ASM3257167v1_genomic	usa
GCA_032572345.1_ASM3257234v1_genomic	usa
GCA_032572715.1_ASM3257271v1_genomic	usa
GCA_032573055.1_ASM3257305v1_genomic	usa
GCA_032573635.1_ASM3257363v1_genomic	usa
GCA_032574095.1_ASM3257409v1_genomic	usa
GCA_032575015.1_ASM3257501v1_genomic	usa
GCA_032577215.1_ASM3257721v1_genomic	usa
GCA_032578235.1_ASM3257823v1_genomic	usa
GCA_032578675.1_ASM3257867v1_genomic	usa
GCA_032578995.1_ASM3257899v1_genomic	usa
GCA_032579915.1_ASM3257991v1_genomic	usa
GCA_032582175.1_ASM3258217v1_genomic	usa
GCA_032582375.1_ASM3258237v1_genomic	usa
GCA_032582695.1_ASM3258269v1_genomic	usa
GCA_032583175.1_ASM3258317v1_genomic	usa
GCA_032583775.1_ASM3258377v1_genomic	usa
GCA_032594315.1_ASM3259431v1_genomic	usa
GCA_032594385.1_ASM3259438v1_genomic	usa
GCA_032595825.1_ASM3259582v1_genomic	usa
GCA_963524485.1_ERR9969053_bin.24_MetaWRAP_v1.3_MAG_genomic	australia
GCF_000013285.1_ASM1328v1_genomic	miss
GCF_000013845.2_ASM1384v2_genomic	miss
GCF_000171195.1_ASM17119v1_genomic	miss
GCF_000243175.1_Clos_perf_WAL_14572_V2_genomic	miss
GCF_001052445.1_ASM105244v1_genomic	usa
GCF_001406415.1_13414_6_73_genomic	uk
GCF_001546355.1_ASM154635v1_genomic	miss
GCF_001854085.1_ASM185408v1_genomic	others
GCF_002355795.1_ASM235579v1_genomic	miss
GCF_003475625.1_ASM347562v1_genomic	china
GCF_004115725.1_ASM411572v1_genomic	others
GCF_004116225.1_ASM411622v1_genomic	others
GCF_004116235.1_ASM411623v1_genomic	others
GCF_005844105.1_ASM584410v1_genomic	usa
GCF_005844665.1_ASM584466v1_genomic	usa
GCF_015548365.1_ASM1554836v1_genomic	usa
GCF_015548585.1_ASM1554858v1_genomic	usa
GCF_015553385.1_ASM1555338v1_genomic	usa
GCF_015553685.1_ASM1555368v1_genomic	usa
GCF_015553915.1_ASM1555391v1_genomic	usa
GCF_015555525.1_ASM1555552v1_genomic	usa
GCF_015555735.1_ASM1555573v1_genomic	usa
GCF_015561335.1_ASM1556133v1_genomic	usa
GCF_015667875.1_ASM1566787v1_genomic	usa
GCF_015670075.1_ASM1567007v1_genomic	usa
GCF_015670355.1_ASM1567035v1_genomic	usa
GCF_019733895.1_ASM1973389v1_genomic	china
GCF_020138435.1_ASM2013843v1_genomic	finland
GCF_020138455.1_ASM2013845v1_genomic	finland
GCF_020138475.1_ASM2013847v1_genomic	finland
GCF_020138495.1_ASM2013849v1_genomic	finland
GCF_020138515.1_ASM2013851v1_genomic	finland
GCF_020138775.1_ASM2013877v1_genomic	finland
GCF_020138795.1_ASM2013879v1_genomic	finland
GCF_020139215.1_ASM2013921v1_genomic	others
GCF_020139235.1_ASM2013923v1_genomic	finland
GCF_020139255.1_ASM2013925v1_genomic	finland
GCF_020139275.1_ASM2013927v1_genomic	finland
GCF_020709015.1_ASM2070901v1_genomic	usa
GCF_021560735.1_ASM2156073v1_genomic	finland
GCF_022132865.1_NA_genomic	usa
GCF_022132885.1_NA_genomic	usa
GCF_022132945.1_NA_genomic	usa
GCF_022132965.1_NA_genomic	usa
GCF_022132975.1_NA_genomic	usa
GCF_022440625.1_ASM2244062v1_genomic	others
GCF_024055875.1_ASM2405587v1_genomic	usa
GCF_024128825.1_ASM2412882v1_genomic	usa
GCF_024294865.1_ASM2429486v1_genomic	usa
GCF_024295025.1_ASM2429502v1_genomic	usa
GCF_024734525.1_ASM2473452v1_genomic	others
GCF_025989775.1_ASM2598977v1_genomic	others
GCF_027661145.1_ASM2766114v1_genomic	china
GCF_027676225.1_ASM2767622v1_genomic	china
GCF_027676325.1_ASM2767632v1_genomic	china
GCF_027676525.1_ASM2767652v1_genomic	china
GCF_027676545.1_ASM2767654v1_genomic	miss
GCF_027676565.1_ASM2767656v1_genomic	china
GCF_027677445.1_ASM2767744v1_genomic	china
GCF_027677685.1_ASM2767768v1_genomic	china
GCF_027686885.1_ASM2768688v1_genomic	china
GCF_027687005.1_ASM2768700v1_genomic	china
GCF_027695855.1_ASM2769585v1_genomic	china
GCF_028207395.1_ASM2820739v1_genomic	usa
GCF_028207455.1_ASM2820745v1_genomic	usa
GCF_028207495.1_ASM2820749v1_genomic	usa
GCF_028207635.1_ASM2820763v1_genomic	usa
GCF_028207695.1_ASM2820769v1_genomic	usa
GCF_028207715.1_ASM2820771v1_genomic	usa
GCF_028207755.1_ASM2820775v1_genomic	usa
GCF_028207825.1_ASM2820782v1_genomic	usa
GCF_028210205.1_ASM2821020v1_genomic	usa
GCF_028210275.1_ASM2821027v1_genomic	usa
GCF_028210295.1_ASM2821029v1_genomic	usa
GCF_028743735.1_ASM2874373v1_genomic	usa
GCF_029392935.1_ASM2939293v1_genomic	usa
GCF_030545585.1_ASM3054558v1_genomic	usa
GCF_030546235.1_ASM3054623v1_genomic	usa
GCF_034930535.1_ASM3493053v1_genomic	others
GCF_034930575.1_ASM3493057v1_genomic	others
GCF_034930645.1_ASM3493064v1_genomic	others
GCF_034930705.1_ASM3493070v1_genomic	others
GCF_034930805.1_ASM3493080v1_genomic	others
GCF_900447095.1_50432_B01_genomic	uk
GCF_900461135.1_50377_E01_genomic	uk
GCF_900461295.1_48269_C01_genomic	others
GCF_901523095.1_44310_E02_genomic	uk
GCF_902166005.1_26009_2_20_genomic	uk
GCF_902166025.1_26009_2_17_genomic	uk
GCF_902166095.1_26009_2_27_genomic	uk
GCF_902166135.1_26009_2_31_genomic	uk
GCF_902166765.1_26009_2_37_genomic	uk
GCF_902386435.1_UHGG_MGYG-HGUT-02372_genomic	miss
GCF_902459425.1_Q135.2_genomic	uk
GCF_902459435.1_Q061.2_genomic	uk
GCF_902459455.1_Q041.2_genomic	uk
GCF_951335905.1_D13118_genomic	australia
GCF_951335935.1_RY112_genomic	australia
GCF_951335945.1_RY11_genomic	australia
GCF_951335955.1_RY119_genomic	australia
GCF_951335965.1_MC077_H6_genomic	australia
GCF_951336045.1_CC01013_genomic	australia
GCF_951336075.1_RY126_genomic	australia
GCF_951336125.1_CW496_genomic	usa
GCF_951336165.1_RY125_genomic	australia
GCF_951336325.1_AMR_G7_2_genomic	australia
GCF_951336455.1_VITAL_27_V_F7_genomic	australia
GCF_951336515.1_CC00744_genomic	miss
GCF_951336585.1_JIR4240_genomic	australia
GCF_951336615.1_AMR_G8_2_genomic	australia
GCF_951336685.1_AMR_A7_2_genomic	australia
GCF_951336695.1_Bar3_genomic	australia
GCF_951336795.1_CN5383_genomic	others
GCF_951336875.1_RY39_genomic	australia
GCF_951336915.1_MC018CN_B4_genomic	australia
GCF_951336945.1_JIR13182_genomic	australia
GCF_951336955.1_MC018_H3_genomic	australia
GCF_951337025.1_CC00856_genomic	miss
GCF_951337045.1_RY51_genomic	australia
GCF_951337075.1_MC053_E10_genomic	australia
GCF_951337085.1_VITAL_27_V_F2_genomic	australia
GCF_951337105.1_MC066_D7_genomic	australia
GCF_951337185.1_MC056_E4_genomic	australia
GCF_951337215.1_RY19_genomic	australia
GCF_951337505.1_MC077_F12_genomic	australia
GCF_951337545.1_DE1_5_genomic	australia
GCF_951337855.1_CWC_48_genomic	australia
GCF_951338055.1_CP_PB-1_genomic	others
GCF_951338165.1_VITAL_50_E_A7_genomic	australia
GCF_951338345.1_VITAL_28_H10_genomic	australia
GCF_951339685.1_VITAL_28_F2_genomic	australia
GCF_951340195.1_VITAL_28_A7_genomic	australia
GCF_951340375.1_VITAL_28_D1_genomic	australia
