Strains	sourcce
CQ233_scaffolds	human
CQ234_scaffolds	human
CQ23_scaffolds	human
CQ241_scaffolds	human
CQ242_scaffolds	human
CQ243_scaffolds	human
CQ245_scaffolds	human
CQ246_scaffolds	human
CQ247_scaffolds	human
CQ248_scaffolds	human
CQ249_scaffolds	human
CQ24_scaffolds	human
CQ250_scaffolds	human
CQ251_scaffolds	human
CQ252_scaffolds	human
CQ253_scaffolds	human
CQ254_scaffolds	human
CQ255_scaffolds	human
CQ256_scaffolds	human
CQ257_scaffolds	human
CQ258_scaffolds	human
CQ259_scaffolds	human
CQ25_scaffolds	human
CQ260_scaffolds	human
CQ261_scaffolds	human
CQ262_scaffolds	human
CQ263_scaffolds	human
CQ265_scaffolds	human
CQ26_scaffolds	human
CQ27_scaffolds	human
CQ28_scaffolds	human
CQ29_scaffolds	human
CQ2_scaffolds	human
CQ31_scaffolds	human
CQ32_scaffolds	human
CQ34_scaffolds	human
CQ36_scaffolds	human
CQ39_scaffolds	human
CQ3_scaffolds	human
CQ40_scaffolds	human
CQ43_scaffolds	human
CQ44_scaffolds	human
CQ45_scaffolds	human
CQ46_scaffolds	human
CQ47_scaffolds	human
CQ48_scaffolds	human
CQ49_scaffolds	human
CQ4_scaffolds	human
CQ50_scaffolds	human
CQ51_scaffolds	human
CQ52_scaffolds	human
CQ54_scaffolds	human
CQ56_scaffolds	human
CQ57_scaffolds	human
CQ58_scaffolds	human
CQ61_scaffolds	human
CQ62_scaffolds	human
CQ63_scaffolds	human
CQ64_scaffolds	human
CQ66_scaffolds	human
CQ67_scaffolds	human
CQ68_scaffolds	human
CQ69_scaffolds	human
CQ70_scaffolds	human
CQ71_scaffolds	human
CQ72_scaffolds	human
CQ73_scaffolds	human
CQ74_scaffolds	human
CQ75_scaffolds	human
CQ76_scaffolds	human
CQ77_scaffolds	human
CQ78_scaffolds	human
CQ79_scaffolds	human
CQ7_scaffolds	human
CQ80_scaffolds	human
CQ84_scaffolds	human
CQ85_scaffolds	human
CQ86_scaffolds	human
CQ87_scaffolds	human
CQ88_scaffolds	human
CQ89_scaffolds	human
CQ90_scaffolds	human
CQ91_scaffolds	human
CQ92_scaffolds	human
CQ93_scaffolds	human
CQ94_scaffolds	human
CQ97_scaffolds	human
CQ98_scaffolds	human
CQ99_scaffolds	human
CQ9_scaffolds	human
GCA_031394805.1_PDT001794871.1_genomic	sheep
GCA_031394845.1_PDT001794870.1_genomic	sheep
GCA_031394875.1_PDT001794869.1_genomic	sheep
GCA_031394935.1_PDT001794867.1_genomic	sheep
GCA_031394975.1_PDT001794868.1_genomic	chicken
GCA_031395075.1_PDT001794866.1_genomic	sheep
GCA_031395095.1_PDT001794864.1_genomic	chicken
GCA_031395165.1_PDT001794863.1_genomic	sheep
GCA_031395215.1_PDT001794861.1_genomic	sheep
GCA_031395275.1_PDT001794859.1_genomic	sheep
GCA_031395295.1_PDT001794860.1_genomic	sheep
GCA_031395325.1_PDT001794858.1_genomic	sheep
GCA_031395355.1_PDT001794857.1_genomic	sheep
GCA_031395395.1_PDT001794856.1_genomic	sheep
GCA_031395445.1_PDT001794854.1_genomic	sheep
GCA_031395525.1_PDT001794853.1_genomic	pig
GCA_031395545.1_PDT001794851.1_genomic	sheep
GCA_031395585.1_PDT001794852.1_genomic	sheep
GCA_031395605.1_PDT001794850.1_genomic	sheep
GCA_031395705.1_PDT001794849.1_genomic	sheep
GCA_031395725.1_PDT001794847.1_genomic	sheep
GCA_031395775.1_PDT001794845.1_genomic	pig
GCA_031395805.1_PDT001794846.1_genomic	sheep
GCA_031395825.1_PDT001794844.1_genomic	sheep
GCA_031395905.1_PDT001794842.1_genomic	sheep
GCA_031395925.1_PDT001794841.1_genomic	sheep
GCA_031396915.1_PDT001794840.1_genomic	sheep
GCA_031396945.1_PDT001794837.1_genomic	sheep
GCA_031396985.1_PDT001794838.1_genomic	sheep
GCA_031397085.1_PDT001794835.1_genomic	sheep
GCA_031397105.1_PDT001794833.1_genomic	sheep
GCA_031397125.1_PDT001794834.1_genomic	sheep
GCA_031397165.1_PDT001794832.1_genomic	pig
GCA_031397295.1_PDT001794831.1_genomic	sheep
GCA_032249845.1_ASM3224984v1_genomic	sheep
GCA_032249875.1_ASM3224987v1_genomic	sheep
GCA_032249935.1_ASM3224993v1_genomic	sheep
GCA_032249955.1_ASM3224995v1_genomic	sheep
GCA_032250015.1_ASM3225001v1_genomic	sheep
GCA_032250035.1_ASM3225003v1_genomic	sheep
GCA_032250055.1_ASM3225005v1_genomic	sheep
GCA_032250075.1_ASM3225007v1_genomic	sheep
GCA_032250095.1_ASM3225009v1_genomic	sheep
GCA_032250115.1_ASM3225011v1_genomic	sheep
GCA_032250155.1_ASM3225015v1_genomic	sheep
GCA_032250195.1_ASM3225019v1_genomic	sheep
GCA_032250265.1_ASM3225026v1_genomic	sheep
GCA_032352735.1_ASM3235273v1_genomic	chicken
GCA_032352745.1_ASM3235274v1_genomic	chicken
GCA_032352765.1_ASM3235276v1_genomic	chicken
GCA_032352895.1_ASM3235289v1_genomic	chicken
GCA_032352905.1_ASM3235290v1_genomic	chicken
GCA_032352965.1_ASM3235296v1_genomic	chicken
GCA_032352985.1_ASM3235298v1_genomic	chicken
GCA_032971005.1_ASM3297100v1_genomic	pig
GCA_032971045.1_ASM3297104v1_genomic	pig
GCA_032971065.1_ASM3297106v1_genomic	pig
GCA_032971105.1_ASM3297110v1_genomic	pig
GCA_032971185.1_ASM3297118v1_genomic	pig
GCA_033187955.1_PDT001964383.1_genomic	sheep
GCA_033187995.1_PDT001964380.1_genomic	sheep
GCA_033192195.1_PDT001964382.1_genomic	sheep
GCF_000009685.1_ASM968v1_genomic	pig
GCF_000255475.1_ASM25547v1_genomic	sheep
GCF_001414595.1_CP4_genomic	chicken
GCF_002012325.1_ASM201232v1_genomic	chicken
GCF_002160285.1_ASM216028v1_genomic	chicken
GCF_002161405.1_ASM216140v1_genomic	chicken
GCF_002312985.1_ASM231298v1_genomic	chicken
GCF_003075475.1_ASM307547v1_genomic	sheep
GCF_003181355.1_ASM318135v1_genomic	chicken
GCF_003181395.1_ASM318139v1_genomic	chicken
GCF_003181405.1_ASM318140v1_genomic	chicken
GCF_003181415.1_ASM318141v1_genomic	chicken
GCF_003181455.1_ASM318145v1_genomic	chicken
GCF_003181475.1_ASM318147v1_genomic	chicken
GCF_003181495.1_ASM318149v1_genomic	chicken
GCF_003181505.1_ASM318150v1_genomic	chicken
GCF_003181535.1_ASM318153v1_genomic	chicken
GCF_003181555.1_ASM318155v1_genomic	chicken
GCF_003181575.1_ASM318157v1_genomic	chicken
GCF_003181595.1_ASM318159v1_genomic	chicken
GCF_003181615.1_ASM318161v1_genomic	chicken
GCF_003181655.1_ASM318165v1_genomic	chicken
GCF_003181675.1_ASM318167v1_genomic	chicken
GCF_003181695.1_ASM318169v1_genomic	chicken
GCF_003181705.1_ASM318170v1_genomic	chicken
GCF_003181735.1_ASM318173v1_genomic	chicken
GCF_003181745.1_ASM318174v1_genomic	chicken
GCF_003181795.1_ASM318179v1_genomic	chicken
GCF_003181815.1_ASM318181v1_genomic	chicken
GCF_003181835.1_ASM318183v1_genomic	chicken
GCF_003181875.1_ASM318187v1_genomic	chicken
GCF_003181895.1_ASM318189v1_genomic	chicken
GCF_003181955.1_ASM318195v1_genomic	chicken
GCF_003181995.1_ASM318199v1_genomic	chicken
GCF_003203455.1_ASM320345v1_genomic	chicken
GCF_003350945.1_ASM335094v1_genomic	pig
GCF_003628405.2_ASM362840v2_genomic	chicken
GCF_006385425.1_ASM638542v1_genomic	sheep
GCF_006409095.1_ASM640909v1_genomic	chicken
GCF_006454475.1_ASM645447v1_genomic	chicken
GCF_008086935.1_ASM808693v1_genomic	chicken
GCF_009259705.1_ASM925970v1_genomic	chicken
GCF_010994425.1_ASM1099442v1_genomic	sheep
GCF_011062465.1_ASM1106246v1_genomic	chicken
GCF_011062475.1_ASM1106247v1_genomic	sheep
GCF_011062525.1_ASM1106252v1_genomic	pig
GCF_011062565.1_ASM1106256v1_genomic	pig
GCF_011062585.1_ASM1106258v1_genomic	sheep
GCF_011062605.1_ASM1106260v1_genomic	chicken
GCF_011062615.1_ASM1106261v1_genomic	pig
GCF_011062685.1_ASM1106268v1_genomic	sheep
GCF_011062735.1_ASM1106273v1_genomic	sheep
GCF_011062745.1_ASM1106274v1_genomic	pig
GCF_011062775.1_ASM1106277v1_genomic	pig
GCF_011062825.1_ASM1106282v1_genomic	pig
GCF_011062845.1_ASM1106284v1_genomic	sheep
GCF_011062925.1_ASM1106292v1_genomic	sheep
GCF_011062955.1_ASM1106295v1_genomic	sheep
GCF_011062975.1_ASM1106297v1_genomic	sheep
GCF_011063005.1_ASM1106300v1_genomic	pig
GCF_011063025.1_ASM1106302v1_genomic	pig
GCF_011063045.1_ASM1106304v1_genomic	chicken
GCF_011063075.1_ASM1106307v1_genomic	pig
GCF_011063135.1_ASM1106313v1_genomic	sheep
GCF_011063145.1_ASM1106314v1_genomic	pig
GCF_011063205.1_ASM1106320v1_genomic	sheep
GCF_011063245.1_ASM1106324v1_genomic	pig
GCF_011063325.1_ASM1106332v1_genomic	sheep
GCF_011068425.1_ASM1106842v1_genomic	pig
GCF_012843975.1_ASM1284397v1_genomic	pig
GCF_013305215.1_ASM1330521v1_genomic	chicken
GCF_016235965.1_ASM1623596v1_genomic	pig
GCF_016235975.1_ASM1623597v1_genomic	pig
GCF_016235985.1_ASM1623598v1_genomic	pig
GCF_016236005.1_ASM1623600v1_genomic	pig
GCF_016236035.1_ASM1623603v1_genomic	pig
GCF_016236065.1_ASM1623606v1_genomic	chicken
GCF_016236085.1_ASM1623608v1_genomic	chicken
GCF_016236095.1_ASM1623609v1_genomic	chicken
GCF_016236125.1_ASM1623612v1_genomic	chicken
GCF_016236135.1_ASM1623613v1_genomic	chicken
GCF_016236165.1_ASM1623616v1_genomic	chicken
GCF_016236185.1_ASM1623618v1_genomic	chicken
GCF_016236195.1_ASM1623619v1_genomic	chicken
GCF_016236235.1_ASM1623623v1_genomic	chicken
GCF_016236265.1_ASM1623626v1_genomic	chicken
GCF_016236285.1_ASM1623628v1_genomic	chicken
GCF_016236305.1_ASM1623630v1_genomic	chicken
GCF_016236315.1_ASM1623631v1_genomic	pig
GCF_016236345.1_ASM1623634v1_genomic	pig
GCF_016236355.1_ASM1623635v1_genomic	pig
GCF_016236385.1_ASM1623638v1_genomic	pig
GCF_016236395.1_ASM1623639v1_genomic	pig
GCF_016236415.1_ASM1623641v1_genomic	chicken
GCF_016236445.1_ASM1623644v1_genomic	pig
GCF_016236455.1_ASM1623645v1_genomic	pig
GCF_016236485.1_ASM1623648v1_genomic	pig
GCF_016236495.1_ASM1623649v1_genomic	pig
GCF_016236515.1_ASM1623651v1_genomic	pig
GCF_016236535.1_ASM1623653v1_genomic	pig
GCF_016236545.1_ASM1623654v1_genomic	pig
GCF_016236585.1_ASM1623658v1_genomic	pig
GCF_016236605.1_ASM1623660v1_genomic	pig
GCF_016236615.1_ASM1623661v1_genomic	pig
GCF_016236635.1_ASM1623663v1_genomic	pig
GCF_016236655.1_ASM1623665v1_genomic	pig
GCF_016236685.1_ASM1623668v1_genomic	pig
GCF_016236705.1_ASM1623670v1_genomic	pig
GCF_016236725.1_ASM1623672v1_genomic	pig
GCF_016236735.1_ASM1623673v1_genomic	pig
GCF_016236745.1_ASM1623674v1_genomic	pig
GCF_016236785.1_ASM1623678v1_genomic	chicken
GCF_016236805.1_ASM1623680v1_genomic	chicken
GCF_016236815.1_ASM1623681v1_genomic	chicken
GCF_016236825.1_ASM1623682v1_genomic	pig
GCF_016236855.1_ASM1623685v1_genomic	pig
GCF_016236885.1_ASM1623688v1_genomic	pig
GCF_016236905.1_ASM1623690v1_genomic	pig
GCF_017590195.1_ASM1759019v1_genomic	chicken
GCF_017590205.1_ASM1759020v1_genomic	chicken
GCF_017590255.1_ASM1759025v1_genomic	chicken
GCF_017590275.1_ASM1759027v1_genomic	chicken
GCF_017590295.1_ASM1759029v1_genomic	sheep
GCF_017590315.1_ASM1759031v1_genomic	chicken
GCF_017590335.1_ASM1759033v1_genomic	sheep
GCF_017590355.1_ASM1759035v1_genomic	chicken
GCF_017590365.1_ASM1759036v1_genomic	chicken
GCF_017590415.1_ASM1759041v1_genomic	chicken
GCF_017590425.1_ASM1759042v1_genomic	chicken
GCF_017590455.1_ASM1759045v1_genomic	sheep
GCF_017590465.1_ASM1759046v1_genomic	sheep
GCF_017590495.1_ASM1759049v1_genomic	sheep
GCF_017590515.1_ASM1759051v1_genomic	sheep
GCF_017590555.1_ASM1759055v1_genomic	sheep
GCF_017590565.1_ASM1759056v1_genomic	sheep
GCF_017590595.1_ASM1759059v1_genomic	sheep
GCF_017590615.1_ASM1759061v1_genomic	sheep
GCF_017590635.1_ASM1759063v1_genomic	sheep
GCF_017590655.1_ASM1759065v1_genomic	sheep
GCF_017590675.1_ASM1759067v1_genomic	sheep
GCF_017590725.1_ASM1759072v1_genomic	sheep
GCF_017590755.1_ASM1759075v1_genomic	sheep
GCF_017590765.1_ASM1759076v1_genomic	sheep
GCF_017590795.1_ASM1759079v1_genomic	sheep
GCF_017590815.1_ASM1759081v1_genomic	chicken
GCF_017590835.1_ASM1759083v1_genomic	sheep
GCF_017590845.1_ASM1759084v1_genomic	sheep
GCF_017590865.1_ASM1759086v1_genomic	chicken
GCF_017590885.1_ASM1759088v1_genomic	chicken
GCF_017590915.1_ASM1759091v1_genomic	chicken
GCF_017590925.1_ASM1759092v1_genomic	chicken
GCF_017590945.1_ASM1759094v1_genomic	chicken
GCF_017590975.1_ASM1759097v1_genomic	chicken
GCF_017590995.1_ASM1759099v1_genomic	chicken
GCF_017591015.1_ASM1759101v1_genomic	chicken
GCF_017591035.1_ASM1759103v1_genomic	chicken
GCF_017591045.1_ASM1759104v1_genomic	chicken
GCF_017591055.1_ASM1759105v1_genomic	chicken
GCF_017591095.1_ASM1759109v1_genomic	chicken
